grupa,nazwa,opis,grafika,link
STALCO,Stalco BHP,"Odzież ochronna, rękawice, okulary, kaski, obuwie i akcesoria BHP.",stalco.svg,https://stalco.pl/pl/4909-odziez-i-akcesoria-bhp
STALCO,Stalco narzędzia,"Narzędzia ręczne i warsztatowe: młotki, klucze, miary, poziomice i szczypce.",stalco.svg,https://stalco.pl/pl/3482-narzedzia-reczne
STALCO,Stalco elektronarzędzia,"Elektronarzędzia, sprzęt akumulatorowy oraz urządzenia do prac budowlanych.",stalco.svg,https://stalco.pl/pl/3986-elektronarzedzia
STALCO,Stalco akcesoria,"Osprzęt do elektronarzędzi: bity, wiertła, tarcze, brzeszczoty i koronki.",stalco.svg,https://stalco.pl/pl/4461-osprzet-do-elektronarzedzi
Zamocowania,Klimas Wkręt-met,"Oficjalne katalogi wkrętów, zamocowań mechanicznych i chemicznych.",klimas.svg,https://www.wkret-met.com/katalogi/
Chemia,Soudal,"Oficjalna strona produktowa pian, klejów, uszczelniaczy i chemii budowlanej.",soudal.svg,https://www.soudal.pl/pro/produkty
Pokrycia,Polstal,"Internetowy katalog pokryć dachowych, blach trapezowych, elewacji i obróbek.",polstal.svg,https://www.polstal.com.pl/fb/2025_1/index.html
Pokrycia,Florian,"Oficjalna strona Florian Centrum z aktualnymi katalogami, ulotkami i plikami do pobrania.",florian.svg,https://floriancentrum.com.pl/pliki-do-pobrania-kutno/
Pokrycia,Blachotrapez,"Oficjalna strona z folderami i katalogami produktów Blachotrapez.",blachotrapez.svg,https://www.blachotrapez.eu/pl/pliki/foldery
Orynnowanie,Bryza,"Oficjalna strona z katalogami systemów rynnowych Bryza do pobrania.",bryza.svg,https://rynnybryza.pl/do-pobrania/
Orynnowanie,KJG,"Oficjalna strona KJG z katalogami rynien, pokryć dachowych i akcesoriów.",kjg.svg,https://www.kjg.pl/do-pobrania/katalogi
Akcesoria,Gunnex,"Oficjalny katalog PDF Gunnex z izolacjami, geosyntetykami i akcesoriami.",gunnex.svg,https://gunnex.pl/web/files/37242/KatalogproduktowGUNNEX2022.pdf
Akcesoria,Krono-Plast,"Oficjalna strona do pobrania z katalogami, cennikami i akcesoriami dachowymi.",krono-plast.svg,https://kronoplast.pl/do-pobrania/
